cytoband	13q14.13	6q15	2q22.2	17p13.1	5q13.2	10q23.31	5q22.1	11q23.2	1q42.2	6p21.32	6p24.3	19p13.3	1p36.13	18q22.3	11p15.5	3p12.3	7q22.1	6q21	12p12.3	1p31.1	3q29	16q24.1	15q15.1	12q24.32	9p24.2	1p13.3	4q34.2	19q13.31	4p12	6q27	11q12.1	2q37.2	8p21.2	10q21.1	17q21.2	21q21.1	2p21	4q27	21q22.3	7q36.2	22q13.31	1q24.2	9q21.13	3p25.3	16q21	4q21.22	14q11.2	2p12	12q12	17q11.2	14q24.3	15q11.2	
						ACTA2-AS1																										MIR4440			KRTAP4-12				LOC101928796			ATF6	LOC105376064		RSPRY1					LOC105371703	BTBD7		
						KLLN																										MIR4786			KRTAP1-5				LOC101930094			NMNAT2	LOC105376114		CCDC189					LOC107133515	TDP1		
						HECTD2-AS1																										MIR4441			KRTAP3-1				MIR6070			COLGALT2	LOC105379450		MYLK3						SPATA7		
						DNMBP-AS1																										MIR5001			KRTAP3-2				MIR6814			RGL1	XLOC_007697		ZNF764						YLPM1		
						MIR1287																										CAPN10-AS1			KRTAP9-2				MIR6815			PRRC2C			CCDC102A						KCNK13		
						FAS-AS1																										LINC01237			KRTAP9-3				MIR6508			NCSTN			ORAI3						CCDC177		
						MIR3157																										LOC101928111			KRTAP9-8				LOC102724354			CRB1			ABCC12						C14orf132		
						SLIT1-AS1																										LOC101928881			KRTAP17-1				LOC102724428			GPR161			STX1B						DDX24		
						LINC00866																										MIR6811			VPS25				U2AF1L5			ZNF281			CMTM1						ADCK1		
						GRID1-AS1																										LOC102723927			TMEM101				LOC102724652			CFAP45			ZNF689						TMEM63C		
						TNKS2-AS1																										LINC01173			GHDC				LINC01423			MPC2			CMTM3						RHOJ		
						MARK2P9																													KRTAP4-4				BRWD1-IT2			OLFML2B			C16orf78						GALNT16		
						ARHGAP19-SLIT1																													TNS4				LOC105372795			DNM3			ANKRD26P1						PLEKHH1		
						MIR4679-1																													KRTAP9-4				LOC105372833			TOR1AIP1			ZNF720						TRMT5		
						MIR4679-2																													KRTAP4-1				FRGCA			OR10J1			SNX20						UNC79		
						MIR4678																													KRTAP4-5				SNORA91			SNORD81			CMTM4						PPP4R4		
						MIR4685																													KRTAP4-3				WRB-SH3BGR			SNORD79			CMTM2						ZNF410		
						LINC00502																													KRTAP4-2							SNORD80			BEAN1						NGB		
						SLC16A12-AS1																													KRTAP3-3							SNORD47			C16orf92						RBM25		
						LINC01375																													KRTAP2-4							SNORD44			FRG2DP						VIPAS39		
						LOC101926942																													LRRC46							USP21			ZNF785						SMOC1		
						PLCE1-AS2																													SCRN2							CACYBP			ZNF688						MOAP1		
						LOC101927278																													AOC4P							KLHL20			PRSS36						IRF2BPL		
						LINC01475																													G6PC3							NME7			ZNF48						MPP5		
						LOC101929574																													ASB16							DCAF8			CPNE2						PCNX4		
						NRG3-AS1																													HSPB9							F11R			ADGRG5						GPR135		
						LINC01519																													PLCD3							GLRX2			PRSS54						BCL11B		
						LOC101929646																													TMEM106A							RRNAD1			CES5A						OTUB2		
						LOC101929662																													OSBPL7							IER5			ADGRG3						LINC00341		
						LINC01520																													NT5C3B							UCHL5			CNEP1R1						ZC2HC1C		
						MIR6507																													SPATA32							SUCO			PYDC1						C14orf169		
						LOC102723665																													HEXIM2							HSD17B7			TERB1						CLMN		
						LOC102723703																													LSM12							UFC1			CASC22						CATSPERB		
						LOC105378397																													CCDC43							METTL13			LOC283856						ZC3H14		
						XLOC_008559																													CNTD1							CD244			LINC00922						RIN3		
						LOC105378430																													EFCAB13							TMCO1			INO80E						C14orf159		
																																			MRPL10							SWT1			LINC01566						BBOF1		
																																			GJD3							GPATCH4			FBXL19-AS1						SGPP1		
																																			KRT222							DUSP23			ZNF843						SLIRP		
																																			KRT40							C1orf27			MT1DP						DNAL1		
																																			CD300LG							RALGPS2			PRSS53						RPS6KL1		
																																			KIF18B							DARS2			TEPP						SYT16		
																																			RUNDC1							KIRREL			SLC6A10P						IFI27L2		
																																			CRHR1-IT1							ITLN1			LOC388242						SETD3		
																																			LINC00974							C1orf112			C16orf87						HHIPL1		
																																			WIPF2							ADCY10			C16orf97						GON7		
																																			KRT25							DCAF6			LOC388282						STON2		
																																			TMEM99							SLAMF8			LOC390705						CIPC		
																																			NAGS							LHX9			CES1P2						PAPLN		
																																			FAM134C							RHBG			FLJ26245						FAM181A		
																																			SPPL2C							SCYL3			MIR138-2						EFCAB11		
																																			KRT28							VANGL2			YBX3P1						CHURC1		
																																			KRT24							IGSF9			TRIM72						ELMSAN1		
																																			ARHGAP27							POGK			SLX1A						LIN52		
																																			ZNF385C							KIAA1614			BOLA2						NEK9		
																																			STH							BRINP2			SMG1P5						IFT43		
																																			KANSL1							CCDC181			UBE2MP1						WDR89		
																																			C17orf105							SLAMF7			LOC606724						L3HYPDH		
																																			FAM171A2							CADM3			LOC613037						AK7		
																																			MEIOC							HAPLN2			CASC16						IFI27L1		
																																			KRT42P							GAS5			LOC643802						GPHB5		
																																			PTRF							PAPPA2			CRNDE						NOXRED1		
																																			KLHL10							BCAN			MT1IP						JDP2		
																																			ASB16-AS1							TNN			APOOP5						ISCA2		
																																			MSL1							MRPS14			LINC00273						ACOT4		
																																			KRT27							TOR3A			TP53TG3C						TTC8		
																																			KRT26							RFWD2			BOLA2B						TC2N		
																																			LINC00671							RGS18			SNORA30						SLC24A4		
																																			CCDC103							LINC00626			SNORA46						SLC25A29		
																																			RPRML							FCRL2			SNORA50A						DEGS2		
																																			KRT39							CDC73			LOC729159						RDH12		
																																			MIR10A							MRPL24			TP53TG3D						ADAM21P1		
																																			MIR152							MROH9			TP53TG3B						LINC00618		
																																			LRRC37A2							EDEM3			LOC730183						GSC		
																																			LOC644172							NPL			TP53TG3HP						SERPINA12		
																																			KANSL1-AS1							OR6N2			CLUHP3						PRIMA1		
																																			KRTAP4-11							OR6K2			HERC2P4						PPP1R36		
																																			MRPL45P2							CFHR5			MIR762						SLC38A6		
																																			KRTAP4-8							C1orf21			MIR3181						LOC145474		
																																			KRTAP1-4							NECTIN4			MIR3935						PTGR2		
																																			KRTAP2-2							SHCBP1L			LINC00919						FAM161B		
																																			KRTAP9-1							TRMT1L			FTO-IT1						LRRC74A		
																																			NSFP1							ISG20L2			LINC00920						ISM2		
																																			KRTAP2-3							FCRL5			LOC100507534						CEP128		
																																			MAPT-AS1							FCRL4			LOC100507577						TTC7B		
																																			MAPT-IT1							NUF2			SLX1A-SULT1A3						FAM71D		
																																			LINC00910							HMCN1			CKLF-CMTM1						TMEM229B		
																																			KRTAP4-9							TEX35			MIR4519						ACTN1-AS1		
																																			KRTAP4-7							TOMM40L			MIR4426						SYNE3		
																																			MAP3K14-AS1							ACBD6			MIR548AI						TMEM30B		
																																			RAMP2-AS1							ZBTB37			MIR4518						SAMD15		
																																			MIR1203							FCRLA			PYCARD-AS1						EML5		
																																			MIR2117							ANKRD36BP1			TMEM265						LINC00521		
																																			MIR4315-2							MAEL			LOC100996338						SERPINA11		
																																			MIR4315-1							RGS8			LOC100996345						PROX2		
																																			KRTAP9-7							SEC16B			ITFG1-AS1						LOC283575		
																																			KRTAP16-1							LHX4			LOC101927132						ZDHHC22		
																																			LOC100505782							SLAMF9			LOC101927272						TMED8		
																																			ARL17B							CENPL			LOC101927334						C14orf178		
																																			SP2-AS1							DUSP27			LINC01571						LOC283585		
																																			KRTAP9-6							RCSD1			LOC101927480						LINC01146		
																																			KRTAP29-1							METTL18			LOC101927580						FAM181A-AS1		
																																			MIR548AT							GORAB			LOC101927650						SNHG10		
																																			MIR5010							C1orf105			BEAN1-AS1						C14orf177		
																																			MIR5089							PIGM			LOC101928595						SLC25A47		
																																			LINC00854							IGSF8			MIR762HG						ADAM20P1		
																																			HOXB-AS1							SLAMF6			MIR6771						C14orf39		
																																			PTGES3L							FCRL1			MIR6772						CCDC85C		
																																			PTGES3L-AARSD1							FCRL3			MIR6863						ITPK1-AS1		
																																			RUNDC3A-AS1							FMO9P			LOC102467079						SNORD56B		
																																			LINC01180							TSEN15			LOC102723373						SERPINA9		
																																			LOC101927166							FAM129A			LOC102723753						VSX2		
																																			RARA-AS1							TADA1			FRG2KP						LRRC9		
																																			LOC101929767							SH2D1B			TP53TG3E						COX8C		
																																			MIR6781							KLHDC9			TP53TG3F						RAB15		
																																			MIR6782							AXDND1			ENPP7P13						SERPINA13P		
																																			MIR6784							ATP6V1G3			LOC105371267						LINC01550		
																																			MIR6867							OR10J5			LOC106699570						SERPINA2		
																																			MIR6780A							ZNF648									HEATR4		
																																			MIR6510							TEDDM1									FLJ22447		
																																			MIR6783							UHMK1									PLEKHD1		
																																			MIR6866							FCRLB									FOXN3-AS1		
																																			THCAT158							TSACC									LINC00642		
																																			LOC102724532							IQGAP3									DICER1-AS1		
																																			CRHR1-IT1-CRHR1							NAXE									LINC00238		
																																			LOC105371789							OR10T2									CCDC88C		
																																			LOC105371795							OR6P1									TEX21P		
																																			THRA1/BTR							OR10X1									MIR342		
																																			LOC107546764							OR10Z1									MIR345		
																																										OR6K6									ACOT1		
																																										OR6N1									ACOT6		
																																										NEK7									FUT8-AS1		
																																										ITLN2									LINC00643		
																																										FAM163A									LOC646548		
																																										OVAAL									SYNDIG1L		
																																										RC3H1									SCARNA13		
																																										METTL11B									SNORA79		
																																										FAM78B									MIR625		
																																										LRRC71									CCDC175		
																																										PYHIN1									LOC730202		
																																										DENND1B									LINC01220		
																																										TDRD5									SNORA11B		
																																										TOR1AIP2									LOC100128233		
																																										TTC24									LOC100129345		
																																										FLJ23867									LOC100289511		
																																										ARHGAP30									MIR1260A		
																																										CFAP126									MIR548H1		
																																										ASPM									MIR3173		
																																										TIPRL									LOC100506321		
																																										SLC9C2									LOC100506476		
																																										LOC284648									LOC100506498		
																																										SMG7-AS1									LOC100506603		
																																										C1orf204									LOC100506700		
																																										C1orf111									TUNAR		
																																										LINC01142									SYNJ2BP-COX16		
																																										ANKRD45									CHURC1-FNTB		
																																										BRINP3									MIR4506		
																																										CCDC190									MIR4505		
																																										OR10R2									MIR4708		
																																										FCRL6									MIR4709		
																																										KCNT2									MIR151B		
																																										RGSL1									MIR4706		
																																										ZBTB41									DIO2-AS1		
																																										CYCSP52									HIF1A-AS1		
																																										PEAR1									HIF1A-AS2		
																																										SFT2D2									MIR5694		
																																										ILDR2									MIR5586		
																																										FMO6P									LINC00911		
																																										LINC00272									LOC100996664		
																																										C1orf53									LOC101927780		
																																										OR10K2									LOC101928075		
																																										OR10K1									LOC101928123		
																																										OR6Y1									LOC101928143		
																																										OR6K3									LOC101928504		
																																										VSIG8									LINC01467		
																																										C1orf226									LOC101928767		
																																										LOC400794									LOC101928791		
																																										C1orf220									LOC101928909		
																																										LINC01344									LOC101929002		
																																										APOBEC4									LOC101929080		
																																										MIR181B1									LOC101929241		
																																										MIR199A2									LINC00644		
																																										MIR181A1									MIR7641-2		
																																										MIR214									MIR7843		
																																										MIR9-1									MIR7855		
																																										RGS21									MIR6764		
																																										ETV3L									LINC01500		
																																										LRRC52									LOC102723809		
																																										LOC440700									LOC102724153		
																																										LOC440704									LOC102724190		
																																										OR10J3									LINC01269		
																																										SUMO1P3									SALRNA1		
																																										LINC00862									LINC01629		
																																										MIR488									LOC105370586		
																																										SNORD74									LOC105370605		
																																										RPL31P11									LOC105370619		
																																										LOC646268									LOC105370622		
																																										PCP4L1											
																																										SCARNA3											
																																										SNORD75											
																																										SNORD76											
																																										SNORD77											
																																										SNORD78											
																																										MIR556											
																																										MIR557											
																																										LOC729867											
																																										LOC730102											
																																										LOC730159											
																																										MIR765											
																																										MIR921											
																																										TSTD1											
																																										MIR181A1HG											
																																										CADM3-AS1											
																																										LOC100147773											
																																										GM140											
																																										GS1-279B7.1											
																																										MIR1278											
																																										MIR1295A											
																																										RASAL2-AS1											
																																										MIR1255B2											
																																										LOC100422212											
																																										MIR3119-1											
																																										MIR4259											
																																										MIR3120											
																																										MIR3119-2											
																																										MIR3121											
																																										MIR3658											
																																										LINC01133											
																																										LOC100505795											
																																										LOC100505918											
																																										LOC100506023											
																																										GAS5-AS1											
																																										LHX4-AS1											
																																										MIR4424											
																																										MIR4426											
																																										MIR4735											
																																										MIR4654											
																																										DNM3OS											
																																										MIR1295B											
																																										MIR5187											
																																										DNM3-IT1											
																																										LOC101928177											
																																										LOC101928372											
																																										LOC101928404											
																																										LINC01363											
																																										LOC101928565											
																																										LOC101928596											
																																										LOC101928650											
																																										LOC101928673											
																																										LOC101928696											
																																										LOC101928751											
																																										LOC101928778											
																																										LOC101928973											
																																										LINC01350											
																																										LINC01351											
																																										LINC01031											
																																										LINC00970											
																																										LOC102724601											
																																										LOC102724661											
																																										LOC102724919											
																																										LINC01032											
																																										LINC01222											
																																										PACERR											
																																										LINC01036											
																																										LINC01221											
																																										LOC105371458											
																																										LINC01037											
																																										SNORA103											
																																										POP3											
																																										SCARNA18B											
